inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,created_at
02,Bolívar,209933,10636,68,-1.605556000000000,-79.00305600000000,03/02/2022
04,Carchi,186869,12009,91,0.8121800000000000,-77.71633000000000,03/02/2022
03,Cañar,281396,12107,127,-2.733333000000000,-78.83333300000000,03/02/2022
06,Chimborazo,524004,14402,147,-1.674347000000000,-78.64829400000001,03/02/2022
05,Cotopaxi,488716,16566,137,-0.9333330000000000,-78.61666700000001,03/02/2022
07,El Oro,715751,44455,367,-3.266667000000000,-79.96666700000000,03/02/2022
08,Esmeraldas,591083,13216,45,1.050000000000000,-79.20000000000000,03/02/2022
20,Galápagos,33042,2825,19,-0.7999999999999999,-89.40000000000001,03/02/2022
09,Guayas,4387434,124696,412,-2.183333000000000,-79.88333299999999,03/02/2022
10,Imbabura,476257,24980,217,0.3626780000000000,-78.13066700000000,03/02/2022
11,Loja,521154,27630,379,-3.983333000000000,-79.20000000000000,03/02/2022
12,Los Ríos,921763,16753,41,-1.800000000000000,-79.53333300000000,03/02/2022
13,Manabí,1562079,50885,332,-1.056181000000000,-80.45521700000000,03/02/2022
14,Morona Santiago,196535,9552,40,-2.300000000000000,-78.11666700000001,03/02/2022
15,Napo,133705,6368,88,-0.9890000000000000,-77.81590000000000,03/02/2022
22,Orellana,161338,5299,47,-0.4666670000000000,-76.96666700000000,03/02/2022
16,Pastaza,114202,4652,72,-1.066667000000000,-78.00111099999999,03/02/2022
17,Pichincha,3228233,262008,3269,-0.2186110000000000,-78.50972200000000,03/02/2022
24,Santa Elena,401178,6275,36,-2.226700000000000,-80.85830000000000,03/02/2022
23,Sto. Domingo Tsáchilas,511151,15649,201,-0.2541670000000000,-79.17194400000000,03/02/2022
21,Sucumbíos,230503,8367,37,0.08472200000000002,-76.88277800000000,03/02/2022
18,Tungurahua,590600,23358,251,-1.241667000000000,-78.61972200000000,03/02/2022
19,Zamora Chinchipe,120416,4655,30,-4.120000000000000,-78.80000000000000,03/02/2022
01,Azuay,881394,35703,411,-2.897414000000000,-79.00448100000000,04/02/2022
02,Bolívar,209933,10734,98,-1.605556000000000,-79.00305600000000,04/02/2022
04,Carchi,186869,12129,120,0.8121800000000000,-77.71633000000000,04/02/2022
03,Cañar,281396,12316,209,-2.733333000000000,-78.83333300000000,04/02/2022
06,Chimborazo,524004,14533,131,-1.674347000000000,-78.64829400000001,04/02/2022
05,Cotopaxi,488716,16704,138,-0.9333330000000000,-78.61666700000001,04/02/2022
07,El Oro,715751,45177,722,-3.266667000000000,-79.96666700000000,04/02/2022
08,Esmeraldas,591083,13321,105,1.050000000000000,-79.20000000000000,04/02/2022
20,Galápagos,33042,2852,27,-0.7999999999999999,-89.40000000000001,04/02/2022
09,Guayas,4387434,125367,671,-2.183333000000000,-79.88333299999999,04/02/2022
10,Imbabura,476257,25332,352,0.3626780000000000,-78.13066700000000,04/02/2022
11,Loja,521154,28145,515,-3.983333000000000,-79.20000000000000,04/02/2022
12,Los Ríos,921763,16812,59,-1.800000000000000,-79.53333300000000,04/02/2022
13,Manabí,1562079,51403,518,-1.056181000000000,-80.45521700000000,04/02/2022
14,Morona Santiago,196535,9622,70,-2.300000000000000,-78.11666700000001,04/02/2022
15,Napo,133705,6423,55,-0.9890000000000000,-77.81590000000000,04/02/2022
22,Orellana,161338,5343,44,-0.4666670000000000,-76.96666700000000,04/02/2022
16,Pastaza,114202,4735,83,-1.066667000000000,-78.00111099999999,04/02/2022
17,Pichincha,3228233,265909,3901,-0.2186110000000000,-78.50972200000000,04/02/2022
24,Santa Elena,401178,6283,8,-2.226700000000000,-80.85830000000000,04/02/2022
23,Sto. Domingo Tsáchilas,511151,15709,60,-0.2541670000000000,-79.17194400000000,04/02/2022
21,Sucumbíos,230503,8396,29,0.08472200000000002,-76.88277800000000,04/02/2022
18,Tungurahua,590600,23674,316,-1.241667000000000,-78.61972200000000,04/02/2022
19,Zamora Chinchipe,120416,4699,44,-4.120000000000000,-78.80000000000000,04/02/2022
01,Azuay,881394,35977,274,-2.897414000000000,-79.00448100000000,05/02/2022
02,Bolívar,209933,10774,40,-1.605556000000000,-79.00305600000000,05/02/2022
04,Carchi,186869,12170,41,0.8121800000000000,-77.71633000000000,05/02/2022
03,Cañar,281396,12440,124,-2.733333000000000,-78.83333300000000,05/02/2022
06,Chimborazo,524004,14569,36,-1.674347000000000,-78.64829400000001,05/02/2022
05,Cotopaxi,488716,16784,80,-0.9333330000000000,-78.61666700000001,05/02/2022
07,El Oro,715751,45710,533,-3.266667000000000,-79.96666700000000,05/02/2022
08,Esmeraldas,591083,13383,62,1.050000000000000,-79.20000000000000,05/02/2022
20,Galápagos,33042,2863,11,-0.7999999999999999,-89.40000000000001,05/02/2022
09,Guayas,4387434,125957,590,-2.183333000000000,-79.88333299999999,05/02/2022
10,Imbabura,476257,25432,100,0.3626780000000000,-78.13066700000000,05/02/2022
11,Loja,521154,28463,318,-3.983333000000000,-79.20000000000000,05/02/2022
12,Los Ríos,921763,16840,28,-1.800000000000000,-79.53333300000000,05/02/2022
13,Manabí,1562079,51681,278,-1.056181000000000,-80.45521700000000,05/02/2022
14,Morona Santiago,196535,9682,60,-2.300000000000000,-78.11666700000001,05/02/2022
15,Napo,133705,6470,47,-0.9890000000000000,-77.81590000000000,05/02/2022
22,Orellana,161338,5382,39,-0.4666670000000000,-76.96666700000000,05/02/2022
16,Pastaza,114202,4771,36,-1.066667000000000,-78.00111099999999,05/02/2022
17,Pichincha,3228233,268061,2152,-0.2186110000000000,-78.50972200000000,05/02/2022
24,Santa Elena,401178,6285,2,-2.226700000000000,-80.85830000000000,05/02/2022
23,Sto. Domingo Tsáchilas,511151,15747,38,-0.2541670000000000,-79.17194400000000,05/02/2022
21,Sucumbíos,230503,8434,38,0.08472200000000002,-76.88277800000000,05/02/2022
18,Tungurahua,590600,23776,102,-1.241667000000000,-78.61972200000000,05/02/2022
19,Zamora Chinchipe,120416,4747,48,-4.120000000000000,-78.80000000000000,05/02/2022
01,Azuay,881394,36100,123,-2.897414000000000,-79.00448100000000,06/02/2022
02,Bolívar,209933,10791,17,-1.605556000000000,-79.00305600000000,06/02/2022
04,Carchi,186869,12185,15,0.8121800000000000,-77.71633000000000,06/02/2022
03,Cañar,281396,12560,120,-2.733333000000000,-78.83333300000000,06/02/2022
06,Chimborazo,524004,14598,29,-1.674347000000000,-78.64829400000001,06/02/2022
05,Cotopaxi,488716,16812,28,-0.9333330000000000,-78.61666700000001,06/02/2022
07,El Oro,715751,46008,298,-3.266667000000000,-79.96666700000000,06/02/2022
08,Esmeraldas,591083,13387,4,1.050000000000000,-79.20000000000000,06/02/2022
20,Galápagos,33042,2871,8,-0.7999999999999999,-89.40000000000001,06/02/2022
09,Guayas,4387434,126393,436,-2.183333000000000,-79.88333299999999,06/02/2022
10,Imbabura,476257,25528,96,0.3626780000000000,-78.13066700000000,06/02/2022
11,Loja,521154,28691,228,-3.983333000000000,-79.20000000000000,06/02/2022
12,Los Ríos,921763,16850,10,-1.800000000000000,-79.53333300000000,06/02/2022
13,Manabí,1562079,51784,103,-1.056181000000000,-80.45521700000000,06/02/2022
14,Morona Santiago,196535,9711,29,-2.300000000000000,-78.11666700000001,06/02/2022
15,Napo,133705,6485,15,-0.9890000000000000,-77.81590000000000,06/02/2022
22,Orellana,161338,5400,18,-0.4666670000000000,-76.96666700000000,06/02/2022
16,Pastaza,114202,4778,7,-1.066667000000000,-78.00111099999999,06/02/2022
17,Pichincha,3228233,268912,851,-0.2186110000000000,-78.50972200000000,06/02/2022
24,Santa Elena,401178,6287,2,-2.226700000000000,-80.85830000000000,06/02/2022
23,Sto. Domingo Tsáchilas,511151,15832,85,-0.2541670000000000,-79.17194400000000,06/02/2022
21,Sucumbíos,230503,8438,4,0.08472200000000002,-76.88277800000000,06/02/2022
18,Tungurahua,590600,23990,214,-1.241667000000000,-78.61972200000000,06/02/2022
19,Zamora Chinchipe,120416,4758,11,-4.120000000000000,-78.80000000000000,06/02/2022
01,Azuay,881394,36307,207,-2.897414000000000,-79.00448100000000,07/02/2022
02,Bolívar,209933,10812,21,-1.605556000000000,-79.00305600000000,07/02/2022
04,Carchi,186869,12197,12,0.8121800000000000,-77.71633000000000,07/02/2022
03,Cañar,281396,12592,32,-2.733333000000000,-78.83333300000000,07/02/2022
06,Chimborazo,524004,14626,28,-1.674347000000000,-78.64829400000001,07/02/2022
05,Cotopaxi,488716,16827,15,-0.9333330000000000,-78.61666700000001,07/02/2022
07,El Oro,715751,46268,260,-3.266667000000000,-79.96666700000000,07/02/2022
08,Esmeraldas,591083,13390,3,1.050000000000000,-79.20000000000000,07/02/2022
20,Galápagos,33042,2879,8,-0.7999999999999999,-89.40000000000001,07/02/2022
09,Guayas,4387434,126738,345,-2.183333000000000,-79.88333299999999,07/02/2022
10,Imbabura,476257,25576,48,0.3626780000000000,-78.13066700000000,07/02/2022
11,Loja,521154,28737,46,-3.983333000000000,-79.20000000000000,07/02/2022
12,Los Ríos,921763,16867,17,-1.800000000000000,-79.53333300000000,07/02/2022
13,Manabí,1562079,51807,23,-1.056181000000000,-80.45521700000000,07/02/2022
14,Morona Santiago,196535,9712,1,-2.300000000000000,-78.11666700000001,07/02/2022
15,Napo,133705,6491,6,-0.9890000000000000,-77.81590000000000,07/02/2022
22,Orellana,161338,5410,10,-0.4666670000000000,-76.96666700000000,07/02/2022
16,Pastaza,114202,4781,3,-1.066667000000000,-78.00111099999999,07/02/2022
17,Pichincha,3228233,270142,1230,-0.2186110000000000,-78.50972200000000,07/02/2022
24,Santa Elena,401178,6294,7,-2.226700000000000,-80.85830000000000,07/02/2022
23,Sto. Domingo Tsáchilas,511151,15841,9,-0.2541670000000000,-79.17194400000000,07/02/2022
21,Sucumbíos,230503,8449,11,0.08472200000000002,-76.88277800000000,07/02/2022
18,Tungurahua,590600,24058,68,-1.241667000000000,-78.61972200000000,07/02/2022
19,Zamora Chinchipe,120416,4764,6,-4.120000000000000,-78.80000000000000,07/02/2022
01,Azuay,881394,36700,393,-2.897414000000000,-79.00448100000000,08/02/2022
02,Bolívar,209933,10874,62,-1.605556000000000,-79.00305600000000,08/02/2022
04,Carchi,186869,12273,76,0.8121800000000000,-77.71633000000000,08/02/2022
03,Cañar,281396,12658,66,-2.733333000000000,-78.83333300000000,08/02/2022
06,Chimborazo,524004,14692,66,-1.674347000000000,-78.64829400000001,08/02/2022
05,Cotopaxi,488716,16916,89,-0.9333330000000000,-78.61666700000001,08/02/2022
07,El Oro,715751,46644,376,-3.266667000000000,-79.96666700000000,08/02/2022
08,Esmeraldas,591083,13442,52,1.050000000000000,-79.20000000000000,08/02/2022
20,Galápagos,33042,2902,23,-0.7999999999999999,-89.40000000000001,08/02/2022
09,Guayas,4387434,127198,460,-2.183333000000000,-79.88333299999999,08/02/2022
10,Imbabura,476257,25857,281,0.3626780000000000,-78.13066700000000,08/02/2022
11,Loja,521154,29301,564,-3.983333000000000,-79.20000000000000,08/02/2022
12,Los Ríos,921763,16913,46,-1.800000000000000,-79.53333300000000,08/02/2022
13,Manabí,1562079,52132,325,-1.056181000000000,-80.45521700000000,08/02/2022
14,Morona Santiago,196535,9772,60,-2.300000000000000,-78.11666700000001,08/02/2022
15,Napo,133705,6518,27,-0.9890000000000000,-77.81590000000000,08/02/2022
22,Orellana,161338,5426,16,-0.4666670000000000,-76.96666700000000,08/02/2022
16,Pastaza,114202,4832,51,-1.066667000000000,-78.00111099999999,08/02/2022
17,Pichincha,3228233,272775,2633,-0.2186110000000000,-78.50972200000000,08/02/2022
24,Santa Elena,401178,6297,3,-2.226700000000000,-80.85830000000000,08/02/2022
23,Sto. Domingo Tsáchilas,511151,15937,96,-0.2541670000000000,-79.17194400000000,08/02/2022
21,Sucumbíos,230503,8500,51,0.08472200000000002,-76.88277800000000,08/02/2022
18,Tungurahua,590600,24250,192,-1.241667000000000,-78.61972200000000,08/02/2022
