inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
21,Sucumbíos,2107,Cuyabeno,-0.1288890000000000,-76.41388900000000,0,3,0,1,1,1,2,0,2,2,1,0
21,Sucumbíos,2102,Gonzalo Pizarro,0.04700000000000000,-77.32280000000000,3,1,0,2,1,2,4,3,3,1,2,2
21,Sucumbíos,2101,Lago Agrio,0.08472200000000001,-76.88277800000000,43,37,34,48,30,36,26,31,34,43,34,27
21,Sucumbíos,2103,Putumayo,0.1000000000000000,-75.84999999999999,1,0,0,2,0,0,0,3,2,1,0,3
21,Sucumbíos,2104,Shushufindi,-0.1871000000000000,-76.64500000000000,5,11,9,11,8,12,8,6,9,7,6,10
21,Sucumbíos,2105,Sucumbíos,0.4592000000000000,-77.52300000000000,2,0,0,1,1,0,1,1,0,1,1,0
18,Tungurahua,1801,Ambato,-1.241667000000000,-78.61972200000000,192,156,205,178,174,160,173,175,192,179,168,149
18,Tungurahua,1802,Baños,-1.396389000000000,-78.42472200000000,7,10,8,8,7,9,6,7,8,7,6,9
18,Tungurahua,1803,Cevallos,-1.350000000000000,-78.61666700000001,0,3,2,2,2,5,0,2,2,1,4,0
18,Tungurahua,1804,Mocha,-1.416667000000000,-78.66666700000000,0,3,3,3,2,1,8,5,1,4,1,1
18,Tungurahua,1805,Patate,-1.316667000000000,-78.51666700000000,0,1,0,9,2,5,3,4,4,2,1,3
18,Tungurahua,1807,Pelileo,-1.327500000000000,-78.54083300000001,16,8,25,24,13,15,19,25,20,18,16,13
18,Tungurahua,1808,Píllaro,-1.175833000000000,-78.55527800000000,13,13,15,12,18,12,10,18,21,14,11,17
18,Tungurahua,1806,Quero,-1.379300000000000,-78.60700000000000,8,2,9,5,7,5,4,8,2,10,12,3
18,Tungurahua,1809,Tisaleo,-1.350000000000000,-78.66666700000000,3,3,1,2,3,3,7,1,6,1,4,3
19,Zamora Chinchipe,1907,Centinela del Cóndor,-3.894910000000000,-78.78140999999999,3,0,2,2,0,1,0,2,3,0,0,0
19,Zamora Chinchipe,1902,Chinchipe,-4.862800000000000,-79.13280000000000,3,2,2,1,2,4,5,1,0,4,4,2
19,Zamora Chinchipe,1906,El Pangui,-3.624900000000000,-78.58710000000001,4,1,1,2,0,1,1,0,2,3,2,1
19,Zamora Chinchipe,1903,Nangaritza,-4.048333000000000,-78.68222200000000,0,3,2,1,0,0,2,1,0,2,2,2
19,Zamora Chinchipe,1908,Palanda,-4.649800000000000,-79.13209999999999,1,1,2,3,0,2,0,1,1,2,0,1
19,Zamora Chinchipe,1909,Paquisha,-3.932750000000000,-78.67426000000000,2,4,3,2,1,1,0,0,0,0,0,0
19,Zamora Chinchipe,1904,Yacuambi,-3.634440000000000,-78.92810000000000,0,0,0,1,0,2,0,3,1,1,4,1
19,Zamora Chinchipe,1905,Yantzaza,-3.850000000000000,-78.75000000000000,2,5,8,4,3,5,6,7,6,5,9,3
19,Zamora Chinchipe,1901,Zamora,-4.120000000000000,-78.80000000000000,10,5,3,2,5,9,2,5,7,10,10,6
