inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
17,Pichincha,1709,Puerto Quito,0.1170000000000000,-79.26400000000000,9,19,22,28,42,44,49,58,60,63,70,73
17,Pichincha,1701,Quito,-0.2186110000000000,-78.50972200000000,1236,2177,3104,4034,5059,6039,7016,8055,8983,9967,10947,12032
17,Pichincha,1705,Rumiñahui,-0.3345000000000000,-78.44750000000001,32,47,82,111,149,174,191,206,222,243,264,285
17,Pichincha,1707,San Miguel de Los Bancos,0.02300000000000000,-78.89200000000000,1,3,6,10,12,13,17,18,21,21,22,22
24,Santa Elena,2402,La Libertad,-2.233333000000000,-80.90000000000001,23,48,67,92,114,139,179,202,221,243,264,277
24,Santa Elena,2403,Salinas,-2.216667000000000,-80.95000000000000,21,46,79,96,124,152,182,215,244,277,308,333
24,Santa Elena,2401,Santa Elena,-2.226700000000000,-80.85830000000000,61,116,183,240,288,365,422,489,535,589,650,707
23,Sto. Domingo Tsáchilas,2302,La Concordia,0.002300000000000000,-79.38460000000001,7,16,26,35,48,57,64,77,85,104,116,129
23,Sto. Domingo Tsáchilas,2301,Santo Domingo,-0.2541670000000000,-79.17194400000000,185,349,508,666,837,995,1168,1331,1500,1665,1812,1955
21,Sucumbíos,2106,Cascales,-0.06750000000000000,-77.21694400000000,2,3,7,8,11,12,14,16,19,22,23,25
21,Sucumbíos,2107,Cuyabeno,-0.1288890000000000,-76.41388900000000,0,1,2,4,7,8,10,11,13,14,14,14
21,Sucumbíos,2102,Gonzalo Pizarro,0.04700000000000000,-77.32280000000000,1,3,7,8,9,10,11,17,17,18,21,21
21,Sucumbíos,2101,Lago Agrio,0.08472200000000001,-76.88277800000000,44,75,108,142,177,208,242,282,326,363,399,430
21,Sucumbíos,2103,Putumayo,0.1000000000000000,-75.84999999999999,1,3,4,4,5,7,9,11,14,17,18,20
21,Sucumbíos,2104,Shushufindi,-0.1871000000000000,-76.64500000000000,2,12,15,25,32,38,47,52,57,64,75,84
21,Sucumbíos,2105,Sucumbíos,0.4592000000000000,-77.52300000000000,2,3,3,4,6,7,7,7,7,7,7,7
18,Tungurahua,1801,Ambato,-1.241667000000000,-78.61972200000000,208,396,569,705,864,1063,1236,1407,1603,1762,1933,2120
18,Tungurahua,1802,Baños,-1.396389000000000,-78.42472200000000,7,14,18,23,27,37,50,55,65,73,81,85
18,Tungurahua,1803,Cevallos,-1.350000000000000,-78.61666700000001,7,9,12,13,18,21,25,32,35,36,37,37
18,Tungurahua,1804,Mocha,-1.416667000000000,-78.66666700000000,4,7,8,11,13,13,14,19,20,21,23,23
18,Tungurahua,1805,Patate,-1.316667000000000,-78.51666700000000,6,11,15,18,22,27,31,34,37,38,43,46
18,Tungurahua,1807,Pelileo,-1.327500000000000,-78.54083300000001,20,43,56,65,87,108,125,139,159,176,189,204
18,Tungurahua,1808,Píllaro,-1.175833000000000,-78.55527800000000,18,28,41,52,66,79,101,124,135,152,161,173
18,Tungurahua,1806,Quero,-1.379300000000000,-78.60700000000000,7,8,14,18,27,30,35,42,47,49,55,61
18,Tungurahua,1809,Tisaleo,-1.350000000000000,-78.66666700000000,7,14,17,20,22,23,26,27,30,32,36,37
19,Zamora Chinchipe,1907,Centinela del Cóndor,-3.894910000000000,-78.78140999999999,2,2,4,4,6,6,6,8,9,9,9,10
19,Zamora Chinchipe,1902,Chinchipe,-4.862800000000000,-79.13280000000000,5,6,9,9,10,13,14,18,20,22,22,23
19,Zamora Chinchipe,1906,El Pangui,-3.624900000000000,-78.58710000000001,3,5,6,10,13,14,15,18,21,24,26,29
19,Zamora Chinchipe,1903,Nangaritza,-4.048333000000000,-78.68222200000000,1,2,3,3,5,5,8,9,11,12,13,13
19,Zamora Chinchipe,1908,Palanda,-4.649800000000000,-79.13209999999999,1,2,3,4,7,9,11,13,14,14,16,16
19,Zamora Chinchipe,1909,Paquisha,-3.932750000000000,-78.67426000000000,0,0,1,2,2,3,4,5,6,6,6,7
19,Zamora Chinchipe,1904,Yacuambi,-3.634440000000000,-78.92810000000000,2,4,7,8,11,12,14,15,15,15,16,16
19,Zamora Chinchipe,1905,Yantzaza,-3.850000000000000,-78.75000000000000,2,10,13,20,26,28,33,39,41,46,48,50
19,Zamora Chinchipe,1901,Zamora,-4.120000000000000,-78.80000000000000,5,7,9,17,25,32,39,52,56,59,65,76
