provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,343012,343020,343299,343642,344009,344413,344768,344890
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,22413,22419,22447,22470,22505,22527,22572,22578
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,9780,9780,9788,9793,9796,9804,9810,9810
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,6126,6126,6128,6135,6139,6139,6145,6145
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,11071,11071,11073,11083,11089,11096,11111,11111
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,53346,53346,53375,53416,53467,53506,53540,53560
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,31348,31348,31366,31386,31402,31419,31425,31430
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,16934,16937,16942,16948,16959,16968,16980,16982
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,8449,8455,8457,8466,8473,8479,8495,8498
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,5304,5304,5309,5314,5318,5323,5330,5330
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,9396,9396,9406,9412,9419,9426,9426,9431
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,11062,11062,11079,11090,11101,11113,11137,11137
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,4348,4348,4360,4385,4389,4396,4424,4428
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,6957,6957,6963,6972,6981,6992,7016,7016
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,5204,5204,5207,5222,5233,5236,5244,5244
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,4926,4930,4935,4937,4947,4948,4948,4948
